hotel_name,total_reviews,avg_star,pct_positive,pct_negative,pct_neutral,contradictions,composite_score,rank
Vina Hotel Hue,350,4.45,88.57,3.14,8.29,0,134.94,83
Hue Boutique Homestay,57,4.4,84.21,3.51,12.28,0,132.56,84
Laurel Hotel Hue,12,4.42,83.33,8.33,8.33,0,131.73,85
The Chum Boutique,13,4.38,84.62,7.69,7.69,0,131.45,86
Thanh An Guesthouse,80,4.35,85.0,6.25,8.75,0,131.25,87
Hotel Saigon Morin,1531,4.28,84.0,4.25,11.76,0,129.95,88
Gold Hotel Hue,765,4.24,83.01,4.58,12.42,0,128.79,89
Ngoc Hung Backpackers Hotel,117,4.18,84.62,5.98,9.4,0,127.79,90
Sala Homestay Hue,72,4.19,83.33,6.94,9.72,0,127.41,91
Jade Hotel,2538,4.21,81.76,10.13,8.12,0,126.7,92
Villa Hue,179,4.19,78.21,5.59,16.2,0,126.15,93
Carnosa Hotel,24,4.17,79.17,8.33,12.5,0,125.49,94
Banyan Tree Lang Co,3040,4.17,80.46,11.28,8.26,0,125.28,95
The Beach Bar Hue,115,4.15,74.78,10.43,14.78,0,123.35,96
